shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6__27____1__IT_1,40.4083674483176,-3.69198456227912,5000021,6.933450079268
6__27____1__IT_1,40.4083839871949,-3.69191319957397,5000022,7.204250709079
6__27____1__IT_1,40.4084039498096,-3.6918273262232,5000023,7.482667404221
6__27____1__IT_1,40.4084294753349,-3.69177414856741,5000024,7.76641220226
6__27____1__IT_1,40.4084561125141,-3.6917367889842,5000025,8.054491965723
6__27____1__IT_1,40.4084968648261,-3.69168908005486,5000026,8.348642251363
6__27____1__IT_1,40.4085326229044,-3.69165576074792,5000027,8.6476657409
6__27____1__IT_1,40.408565845218,-3.69163685036846,5000028,8.950710965831
6__27____1__IT_1,40.4086113280998,-3.69161806665895,5000029,9.259050524724
6__27____1__IT_1,40.4086579506899,-3.6916137307105,5000030,9.572578382317
6__27____1__IT_1,40.4086923117935,-3.69160927041708,5000031,9.889939149001
6__27____1__IT_1,40.4087323573372,-3.69160756720308,5000032,10.211747431361
6__27____1__IT_1,40.4087810888288,-3.69162599308759,5000033,10.539186461734
6__27____1__IT_1,40.4088192597828,-3.69165016124801,5000034,10.871332754075
6__27____1__IT_1,40.4088485892109,-3.69167373213831,5000035,11.207299962497
6__27____1__IT_1,40.4088975283391,-3.69171136013541,5000036,11.549568344768
6__27____1__IT_1,40.4091079046875,-3.6918364169358,5000037,11.917486922346
6__27____1__IT_1,40.4092833048123,-3.69195970319013,5000038,12.307507772893
6__27____1__IT_1,40.4096329634552,-3.69208824610705,5000039,12.737845112809
6__27____1__IT_1,40.4099866419321,-3.69221826707628,5000040,13.208962432193
6__27____1__IT_1,40.4099866419321,-3.69221826707628,6000001,13.208962432193
6__27____1__IT_1,40.410008152925,-3.69222442516168,6000002,13.211406715664
6__27____1__IT_1,40.4117931863852,-3.69266126507656,6000003,13.415431802079
6__27____1__IT_1,40.4128656634307,-3.69290231961497,6000004,13.740249089265
6__27____1__IT_1,40.4128656634307,-3.69290231961497,7000001,13.740249089265
